difficulty,E.Ns,strategy
0.515,0.5,Voter model
0.6,0.6,Voter model
0.7,0.8,Voter model
0.8,0.9,Voter model
0.923,0.99,Voter model
0.515,0.5,Direct modulation
0.6,0.5,Direct modulation
0.7,0.7,Direct modulation
0.8,0.8,Direct modulation
0.923,0.9,Direct modulation
0.515,0.53,Majority voting
0.6,0.55,Majority voting
0.7,0.65,Majority voting
0.8,0.7,Majority voting
0.923,0.81,Majority voting


0.515,0.5,Voter model
0.538,0.55,Voter model
0.563,0.65,Voter model
0.587,0.68,Voter model
0.613,0.6,Voter model
0.639,0.62,Voter model
0.667,0.66,Voter model
0.695,0.7,Voter model
0.724,0.7,Voter model
0.754,0.7,Voter model
0.786,0.7,Voter model
0.818,0.7,Voter model
0.852,0.8,Voter model
0.887,0.8,Voter model
0.923,0.9,Voter model
0.515,0.6,Direct modulation
0.538,0.62,Direct modulation
0.563,0.63,Direct modulation
0.587,0.64,Direct modulation
0.613,0.65,Direct modulation
0.639,0.66,Direct modulation
0.667,0.67,Direct modulation
0.695,0.69,Direct modulation
0.724,0.70,Direct modulation
0.754,0.,Direct modulation
0.786,0.6,Direct modulation
0.818,0.6,Direct modulation
0.852,0.6,Direct modulation
0.887,0.6,Direct modulation
0.923,0.6,Direct modulation
0.515,0.6,Majority voting
0.538,0.6,Majority voting
0.563,0.6,Majority voting
0.587,0.6,Majority voting
0.613,0.6,Majority voting
0.639,0.6,Majority voting
0.667,0.6,Majority voting
0.695,0.6,Majority voting
0.724,0.6,Majority voting
0.754,0.6,Majority voting
0.786,0.6,Majority voting
0.818,0.6,Majority voting
0.852,0.6,Majority voting
0.887,0.6,Majority voting
0.923,0.6,Majority voting
