Ea0,consensus.time,strategy
2,196.398,Voter model
3,196.039,Voter model
4,191.085,Voter model
5,183.557,Voter model
6,177.315,Voter model
7,177.013,Voter model
8,172.95,Voter model
9,164.013,Voter model
10,163.635,Voter model
11,159.856,Voter model
12,150.793,Voter model
13,143.311,Voter model
14,135.715,Voter model
15,132.208,Voter model
16,129.693,Voter model
17,124.165,Voter model
18,116.738,Voter model
19,112.08,Voter model
2,198.5,Direct modulation
3,193.904,Direct modulation
4,190.988,Direct modulation
5,186.165,Direct modulation
6,185.177,Direct modulation
7,178.772,Direct modulation
8,170.183,Direct modulation
9,163.225,Direct modulation
10,155.481,Direct modulation
11,154.366,Direct modulation
12,147.626,Direct modulation
13,143.454,Direct modulation
14,140.113,Direct modulation
15,132.897,Direct modulation
16,128.989,Direct modulation
17,126.086,Direct modulation
18,119.565,Direct modulation
19,118.268,Direct modulation
2,202.212,Majority voting
3,198.515,Majority voting
4,192.565,Majority voting
5,189.72,Majority voting
6,186.669,Majority voting
7,188.623,Majority voting
8,179.051,Majority voting
9,175.661,Majority voting
10,170.693,Majority voting
11,165.772,Majority voting
12,157.308,Majority voting
13,150.143,Majority voting
14,150.297,Majority voting
15,146.589,Majority voting
16,143.609,Majority voting
17,134.231,Majority voting
18,131.901,Majority voting
19,123.622,Majority voting
