difficulty,E.Ns,strategy
0.515,0.488,Voter model
0.538,0.511,Voter model
0.563,0.523,Voter model
0.587,0.545,Voter model
0.613,0.548,Voter model
0.639,0.587,Voter model
0.667,0.606,Voter model
0.695,0.643,Voter model
0.724,0.659,Voter model
0.754,0.694,Voter model
0.786,0.715,Voter model
0.818,0.738,Voter model
0.852,0.749,Voter model
0.887,0.771,Voter model
0.923,0.783,Voter model
0.515,0.409,Direct modulation
0.538,0.437,Direct modulation
0.563,0.473,Direct modulation
0.587,0.487,Direct modulation
0.613,0.486,Direct modulation
0.639,0.5,Direct modulation
0.667,0.515,Direct modulation
0.695,0.539,Direct modulation
0.724,0.558,Direct modulation
0.754,0.586,Direct modulation
0.786,0.615,Direct modulation
0.818,0.637,Direct modulation
0.852,0.645,Direct modulation
0.887,0.654,Direct modulation
0.923,0.668,Direct modulation
0.515,0.464,Majority voting
0.538,0.496,Majority voting
0.563,0.508,Majority voting
0.587,0.526,Majority voting
0.613,0.548,Majority voting
0.639,0.569,Majority voting
0.667,0.585,Majority voting
0.695,0.606,Majority voting
0.724,0.615,Majority voting
0.754,0.623,Majority voting
0.786,0.656,Majority voting
0.818,0.692,Majority voting
0.852,0.699,Majority voting
0.887,0.719,Majority voting
0.923,0.741,Majority voting
